Handle,ColdBent
24FB,0.0003
2501,0.0003
2507,0.0006
250D,0.6523
2513,5.105
2519,15.8918
251F,12.2343
2525,8.308
252B,4.1998
2531,0.0004
2537,4.1997
253D,8.3064
2543,12.2357
2549,15.8906
254F,5.1063
2555,1.9234
255B,0.0025
2561,0.0035
2567,0.0016
256D,0.0003
2573,0.0011
2579,0.0024
257F,0.0037
2585,1.923
258B,10.8198
2591,16.27
2597,11.8692
259D,7.2211
25A3,2.4238
25A9,2.4244
25AF,7.2243
25B5,11.8666
25BB,16.2704
25C1,10.8196
25C7,1.282
25CD,0.0002
25D3,0.0017
25D9,0.0019
25DF,0.0005
25E5,0.0002
25EB,0.0009
25F1,0.0014
25F7,0.002
25FD,1.2821
2603,26.2255
2609,40.2783
260F,37.4469
2615,34.512
261B,31.4896
2621,28.388
2627,25.2149
262D,21.9794
2633,18.6894
2639,15.3536
263F,11.9801
2645,8.5774
264B,5.1541
2651,1.7179
2657,1.7188
265D,5.1529
2663,8.5768
2669,11.9817
266F,15.3437
2675,18.7239
267B,21.9509
2681,25.2119
2687,28.3941
268D,31.4883
2693,34.5123
2699,37.4459
269F,40.2845
26A5,26.2211
26AB,3.1523
26B1,0.0338
26B7,0.0343
26BD,0.0324
26C3,0.0291
26C9,0.0255
26CF,0.0217
26D5,0.0185
26DB,0.016
26E1,0.0133
26E7,0.0088
26ED,0.0049
26F3,0.0019
26F9,0.0019
26FF,0.0054
2705,0.0088
270B,0.0122
2711,0.0155
2717,0.0189
271D,0.0222
2723,0.0255
2729,0.0287
272F,0.0318
2735,0.0351
273B,0.0381
2741,3.1538
2749,27.261
274F,41.5215
2755,38.4663
275B,35.3043
2761,32.0465
2767,28.7023
276D,25.2814
2773,21.7936
2779,18.2486
277F,14.6554
2785,11.0243
278B,7.3646
2791,3.6856
2797,0.0006
279D,3.6856
27A3,7.3629
27A9,11.0251
27AF,14.659
27B5,18.2131
27BB,21.8331
27C1,25.2801
27C7,28.6959
27CD,32.0473
27D3,35.3036
27D9,38.4678
27DF,41.5225
27E5,27.2597
27EB,3.4101
27F1,0.0103
27F7,0.0118
27FD,0.011
2803,0.0099
2809,0.0082
280F,0.0066
2815,0.0063
281B,0.006
2821,0.0049
2827,0.0023
282D,0.0016
2833,0.0001
2839,0.0013
283F,0.0023
2845,0.0037
284B,0.0046
2851,0.0058
2857,0.007
285D,0.0079
2863,0.0091
2869,0.0103
286F,0.0111
2875,0.0122
287B,3.4188
2881,27.5763
2887,41.7329
288D,38.5158
2893,35.1893
2899,31.7595
289F,28.2383
28A5,24.636
28AB,20.9637
28B1,17.2324
28B7,13.4524
28BD,9.6351
28C3,5.7908
28C9,1.9303
28CF,1.9313
28D5,5.7895
28DB,9.6345
28E1,13.4527
28E7,17.2557
28ED,20.9262
28F3,24.6464
28F9,28.2398
28FF,31.7607
2905,35.1882
290B,38.5175
2911,41.7294
2917,27.5789
291D,3.6449
2923,0.007
2929,0.0053
292F,0.0045
2935,0.0042
293B,0.0042
2941,0.0036
2947,0.0017
294D,0.0005
2953,0.001
2959,0.0007
295F,0.0003
2965,0.0003
296B,0.001
2971,0.0017
2977,0.0024
297D,0.003
2983,0.0037
2989,0.0045
298F,0.005
2995,0.0057
299B,0.0063
29A1,0.0069
29A7,3.6561
29AF,28.1221
29B5,41.8516
29BB,38.4655
29C1,34.9648
29C7,31.3542
29CD,27.6466
29D3,23.8542
29D9,19.9891
29DF,16.0634
29E5,12.0895
29EB,8.0793
29F1,4.0449
29F7,0.0006
29FD,4.0449
2A03,8.0778
2A09,12.0905
2A0F,16.0547
2A15,20.0198
2A1B,23.8349
2A21,27.6486
2A27,31.352
2A2D,34.9649
2A33,38.4656
2A39,41.8443
2A3F,28.1295
2A45,3.953
2A4B,0.0171
2A51,0.0151
2A57,0.0136
2A5D,0.0124
2A63,0.011
2A69,0.0085
2A6F,0.0058
2A75,0.0039
2A7B,0.0035
2A81,0.0013
2A87,0.0003
2A8D,0.002
2A93,0.0037
2A99,0.0057
2A9F,0.0075
2AA5,0.0093
2AAB,0.0112
2AB1,0.0129
2AB7,0.0147
2ABD,0.0165
2AC3,0.0181
2AC9,3.962
2ACF,28.8935
2AD5,41.862
2ADB,38.3021
2AE1,34.6177
2AE7,30.8175
2AED,26.9147
2AF3,22.9234
2AF9,18.8574
2AFF,14.7302
2B05,10.5555
2B0B,6.3466
2B11,2.1176
2B17,2.1184
2B1D,6.3455
2B23,10.5549
2B29,14.7334
2B2F,18.8279
2B35,22.9477
2B3B,26.9101
2B41,30.822
2B47,34.6188
2B4D,38.301
2B53,41.8543
2B59,28.9028
2B5F,4.3377
2B65,0.02
2B6B,0.0179
2B71,0.0163
2B77,0.0148
2B7D,0.0124
2B83,0.0092
2B89,0.0063
2B8F,0.0052
2B95,0.0036
2B9B,0.0008
2BA1,0.0014
2BA7,0.0036
2BAD,0.006
2BB3,0.0081
2BB9,0.0105
2BBF,0.0126
2BC5,0.0147
2BCB,0.017
2BD1,0.0191
2BD7,0.0211
2BDD,4.3403
2BE3,29.8796
2BE9,41.7497
2BEF,38.0113
2BF5,34.135
2BFB,30.136
2C01,26.0298
2C07,21.8315
2C0D,17.557
2C13,13.2212
2C19,8.8397
2C1F,4.4278
2C25,0.0005
2C2B,4.4277
2C31,8.8383
2C37,13.2222
2C3D,17.5784
2C43,21.8127
2C49,26.0311
2C4F,30.1311
2C55,34.1353
2C5B,38.0109
2C61,41.7481
2C67,29.883
2C6D,4.8015
2C73,0.0159
2C79,0.0144
2C7F,0.0131
2C85,0.0119
2C8B,0.0095
2C91,0.0065
2C97,0.0049
2C9D,0.0045
2CA3,0.0023
2CA9,0.0001
2CAF,0.0022
2CB5,0.0041
2CBB,0.0059
2CC1,0.0078
2CC7,0.0096
2CCD,0.0114
2CD3,0.0131
2CD9,0.0148
2CDF,0.0166
2CE5,4.7951
2CEB,31.0684
2CF1,41.5144
2CF7,37.5866
2CFD,33.5094
2D03,29.3024
2D09,24.9835
2D0F,20.5701
2D15,16.0792
2D1B,11.5283
2D21,6.9344
2D27,2.315
2D2D,2.3159
2D33,6.9333
2D39,11.5276
2D3F,16.0739
2D45,20.578
2D4B,24.9838
2D51,29.3029
2D57,33.5101
2D5D,37.5875
2D63,41.5192
2D69,31.0642
2D6F,5.3399
2D75,0.0087
2D7B,0.0082
2D81,0.0078
2D87,0.0068
2D8D,0.0049
2D93,0.0031
2D99,0.0034
2D9F,0.003
2DA5,0.0016
2DAB,0.0009
2DB1,0.0019
2DB7,0.0028
2DBD,0.0039
2DC3,0.0048
2DC9,0.0058
2DCF,0.0067
2DD5,0.0076
2DDB,0.0086
2DE1,5.3254
2DE7,32.4416
2DED,41.1512
2DF3,37.0192
2DF9,32.7311
2DFF,28.307
2E05,23.7664
2E0B,19.1292
2E11,14.4146
2E17,9.6423
2E1D,4.8313
2E23,0.0005
2E29,4.8313
2E2F,9.6408
2E35,14.4152
2E3B,19.1127
2E41,23.779
